,,,
1.1nm 12v Acmeda DCRF Motor,27,Yes,External Battery
1.1nm 12v Acmeda Motor,27,Yes,No
0.7nm 12v Acmeda Motor,27,Yes,No
2nm 12v Acmeda DCRF Motor,27,Yes,External Battery
2nm 12v Acmeda Motor,27,Yes,No
Acmeda 12v 6nm Motor,29,Yes,No
Acmeda E6 Motor,30,Yes,Yes
Acmeda External 12v Motor,39,Yes,No
Acmeda External Motor,46,Yes,Yes
Acmeda M6 Motor,30,Yes,Yes
Becker CBUS Motor,35,Yes,Yes
Becker External cBus Motor,50,Yes,Yes
Becker External Remote Motor,50,Yes,Yes
Becker Remote Motor,35,Yes,Yes
Chain Winder,29,No,No
Chain Winder 60mm,29,No,No
Chain Winder Fixed Guide,29,No,No
HD Chain Winder,30,No,No
Linked,24,No,No
Linked - HD,32,No,No
Linked 60mm,24,No,No
Nice CBus Motor,32,Yes,Yes
Nice Remote Motor,32,Yes,Yes
Small Spring,29,No,No
Somfy 12v Remote Sonesse Motor,30,Yes,No
Somfy CBUS Motor,33,Yes,Yes
Somfy External CBUS Motor,55,Yes,No
Somfy External Remote Motor,55,Yes,No
Somfy Remote Sonesse Motor,33,Yes,Yes
HD Somfy CBUS Motor,33,Yes,Yes
HD Somfy External CBUS Motor,55,Yes,No
HD Somfy External Remote Motor,55,Yes,No
HD Somfy 12v Remote Sonesse Motor,33,Yes,Yes
Standard Spring,29,No,No
Sunboss Chain Winder 38mm Tube,30,No,No
Sunboss Chain Winder 43mm Tube,34,No,No
TBS Cbus Motor,34,Yes,No
TBS Remote Motor,34,Yes,No
Uniline Cbus Motor,36,Yes,Yes
Uniline Remote Motor,36,Yes,Yes
Uniline Spring (Old Style),36,Yes,No
,,,
,,,
,,,
,,,
,,,
,,,
,,,
