No,0
Side by Side(Face),2
Side by Side(Reveal),2
Thru,0
Butt,2
Butt Extension Bracket,2
Butt 60mm Bracket,2
Bay - Face Fit (1 End Butting),0
Bay - Face Fit (Both Ends Butting),0
Face Fit (Recess Deduction),0
Face Fit (Recess Side by Side Deduction),0
Face Fit (Recess 5mm Deduction),0
Face Fit (Recess 10mm Deduction),0
Recess Fit (No Deduction),0
Recess Fit (5mm Deduction),0
Recess Fit (7mm Deduction),0
Recess Fit (10mm Deduction),0
Recess Fit (15mm Deduction),0
Recess Fit (20mm Deduction),0
1 Blind inside an Existing Aluminium Pelmet,5
2 Blinds inside an Existing Aluminium Pelmet,5
3 Blinds inside an Existing Aluminium Pelmet,5
1 Blind inside an Existing Cassette,10
2 Blinds inside an Existing Cassette,10
3 Blinds inside an Existing Cassette,10
Outside of Bracket to Outside of Link Bracket,0
Outside of Link Bracket to Outside of Link Bracket,0
Outside of Bracket to Centre of Link Bracket,0
Outside of Link Bracket to Centre of Link Bracket,0
Inside of Bracket to Inside of Link Bracket,0
Inside of Link Bracket to Inside of Link Bracket,0
Thru (Dual Same Side),0
Butt (Dual Same Side),2
Thru (Dual Same Side Slimline),0
Butt (Dual Same Side Slimline),2
"Thru (Recess Fit, Front Measurement)",0
"Butt (Recess Fit, Front Measurement)",2
Inside of Bracket to Inside of Bracket,0
Butts Both Ends,2
Skirting Board Each Side,2
Skirting Board 1 Side,2
,
,
,
,
,
,
,
,
,
,
,
