,,,,,,,,
Aluminium PelmetFaceChain Winder,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceHD Chain Winder,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceChain Winder 60mm,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceChain Winder Fixed Guide,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceLinked,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceLinked - HD,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceStandard Spring,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceSmall Spring,6,6,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetFaceUniline Spring (Old Style),6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceBecker Remote Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceBecker CBUS Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceBecker External Remote Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetFaceBecker External CBUS Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetFace1.1nm 12v Acmeda Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFace2nm 12v Acmeda Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceAcmeda 12v 6nm Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFace0.7nm 12v Acmeda Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFace1.1nm 12v Acmeda DCRF Motor with External Battery,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFace1.1nm 12v Acmeda DCRF Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFace2nm 12v Acmeda DCRF Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceSomfy Remote Sonesse Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceSomfy 12v Remote Sonesse Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetFaceSomfy CBUS Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceHD Somfy Remote Sonesse Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceHD Somfy 12v Remote Sonesse Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetFaceHD Somfy CBUS Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceAcmeda E6 Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceAcmeda M6 Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceUniline Remote Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceUniline Cbus Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceNice Remote Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceNice CBus Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceSunboss Chain Winder 38mm Tube,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceSunboss Chain Winder 43mm Tube,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceTBS Remote Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceTBS Cbus Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceAcmeda External Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetFaceAcmeda External 12v Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetFaceSomfy External CBUS Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetFaceSomfy External Remote Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetFaceHD Somfy External CBUS Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetFaceHD Somfy External Remote Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetTop FixChain Winder,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixHD Chain Winder,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixChain Winder 60mm,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixChain Winder Fixed Guide,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixLinked,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixLinked - HD,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixStandard Spring,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixSmall Spring,6,6,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetTop FixUniline Spring (Old Style),6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixBecker Remote Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixBecker CBUS Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixBecker External Remote Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetTop FixBecker External CBUS Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetTop Fix1.1nm 12v Acmeda Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop Fix2nm 12v Acmeda Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixAcmeda 12v 6nm Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop Fix0.7nm 12v Acmeda Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop Fix1.1nm 12v Acmeda DCRF Motor with External Battery,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop Fix1.1nm 12v Acmeda DCRF Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop Fix2nm 12v Acmeda DCRF Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixSomfy Remote Sonesse Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixSomfy 12v Remote Sonesse Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetTop FixSomfy CBUS Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixHD Somfy Remote Sonesse Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixHD Somfy 12v Remote Sonesse Motor,0,0,N/A,N/A,No,No,Yes,N/A
Aluminium PelmetTop FixHD Somfy CBUS Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixAcmeda E6 Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
Aluminium PelmetTop FixAcmeda M6 Motor,6,6,N/A,N/A,Yes,No,Yes,N/A
