Column,Header,Formula (row 11 / first data row)
A,Job Tracking Action,
B,Dispatch Action,
C,Dispatch Date,
D,Quote No.,"=IF('Tube Cutting'!D11="""","""",CONCATENATE(Data!BC$5,""."",Data!BD$5))"
E,Line No,"=IF(D5="""","""",Data!AW11)"
F,Order Item Code,"=IF(D5="""","""",Data!AV11)"
G,Business Name,"=IF(D5="""","""",Data!BF$5)"
H,Quote Ref,"=IF(D5="""","""",Data!AX$5)"
I,Fabric,='Job Sheet'!I11
J,Fabric Sqm,"=IF(D5="""","""",K5*L5/1000000)"
K,Fabric Width,='Fabric Cutting'!F11
L,Fabric Drop,='Job Sheet'!AZ11
M,38mm Tube,"=IF('Tube Cutting'!C11=""38mm"",'Tube Cutting'!D11,"""")"
N,43mm Tube,"=IF('Tube Cutting'!C11=""43mm"",'Tube Cutting'!D11,"""")"
O,43mm Heavy Duty Tube,"=IF('Tube Cutting'!C11=""43mm H/D"",'Tube Cutting'!D11,"""")"
P,60mm Tube,"=IF('Tube Cutting'!C11=""60mm"",'Tube Cutting'!D11,"""")"
Q,80mm Tube,"=IF('Tube Cutting'!C11=""80mm"",'Tube Cutting'!D11,"""")"
R,D30 Bottom Rail Anodised Silver,"=IF(AND('Job Sheet'!BD11=""Anodised Silver"",(OR('Tube Cutting'!E11=""D30 Bottom Rail"",'Tube Cutting'!E11=""D30 Bottom Rail with Noise Reducing Strip"",'Tube Cutting'!E11=""D30 Bottom Rail with Noise Reducing Strip & Fluffy Strip"",'Tube Cutting'!E11=""Bottom Rail in Pocket"",'Tube Cutting'!E11=""Bottom Rail in Pocket with Round Cut Out"",'Tube Cutting'!E11=""Bottom Rail in Pocket with Square Cut Out""))),'Tube Cutting'!G11,"""")"
S,D30 Bottom Rail White,"=IF(AND('Job Sheet'!BD11=""White"",(OR('Tube Cutting'!E11=""D30 Bottom Rail"",'Tube Cutting'!E11=""D30 Bottom Rail with Noise Reducing Strip"",'Tube Cutting'!E11=""D30 Bottom Rail with Noise Reducing Strip & Fluffy Strip"",'Tube Cutting'!E11=""Bottom Rail in Pocket"",'Tube Cutting'!E11=""Bottom Rail in Pocket with Round Cut Out"",'Tube Cutting'!E11=""Bottom Rail in Pocket with Square Cut Out""))),'Tube Cutting'!G11,"""")"
T,D30 Bottom Rail Black,"=IF(AND('Job Sheet'!BD11=""Black"",(OR('Tube Cutting'!E11=""D30 Bottom Rail"",'Tube Cutting'!E11=""D30 Bottom Rail with Noise Reducing Strip"",'Tube Cutting'!E11=""D30 Bottom Rail with Noise Reducing Strip & Fluffy Strip"",'Tube Cutting'!E11=""Bottom Rail in Pocket"",'Tube Cutting'!E11=""Bottom Rail in Pocket with Round Cut Out"",'Tube Cutting'!E11=""Bottom Rail in Pocket with Square Cut Out""))),'Tube Cutting'!G11,"""")"
U,D30 Bottom Rail Sandstone,"=IF(AND('Job Sheet'!BD11=""Sandstone"",(OR('Tube Cutting'!E11=""D30 Bottom Rail"",'Tube Cutting'!E11=""D30 Bottom Rail with Noise Reducing Strip"",'Tube Cutting'!E11=""D30 Bottom Rail with Noise Reducing Strip & Fluffy Strip"",'Tube Cutting'!E11=""Bottom Rail in Pocket"",'Tube Cutting'!E11=""Bottom Rail in Pocket with Round Cut Out"",'Tube Cutting'!E11=""Bottom Rail in Pocket with Square Cut Out""))),'Tube Cutting'!G11,"""")"
