Column,Header,Formula (row 11 / first data row)
A,Sticker No.,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!A11,"""")"
B,Location,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!B11,"""")"
C,Measured Width,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!C11,"""")"
D,Measured Drop,"=IF('Job Sheet'!AJ11=""Installation"",Data!BB11,"""")"
E,Measured Size,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!E11,"""")"
F,Additional Deductions,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!F11,"""")"
G,Blind Making Width,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!G11,"""")"
H,Blind Making Drop,"=IF('Job Sheet'!AJ11=""Installation"",Data!BB11,"""")"
I,Fabric Type & Colour,"=IF('Job Sheet'!AJ11=""Installation"",CONCATENATE(Data!BO11,"" "",Data!BP11),"""")"
J,Dual,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!D11,"""")"
K,Fit,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!J11,"""")"
L,Fixing,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!K11,"""")"
M,Control,"=IF('Job Sheet'!AJ11=""Installation"",CONCATENATE('Job Sheet'!L11,"" "",'Job Sheet'!M11),"""")"
N,Fabric Direction,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!O11,"""")"
O,Bracket,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!AS11,"""")"
P,Pelmet or Cassette Type,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!AA11,"""")"
Q,Installation Height off Ground,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!AK11,"""")"
R,Installation Difficulty Grading,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!AL11,"""")"
S,Take Downs,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!AM11,"""")"
T,Installers,
U, Minutes Allowed,"=IF(Data!AV11="""","""",IF('Job Sheet'!AL11=""Extreme - Consult Installer"",""Consult Installer"",(5+IFERROR(VLOOKUP(Q11,FHEIGHT,2,FALSE),0)+IFERROR(VLOOKUP(R11,FGRADING,2,FALSE),0)+IFERROR(VLOOKUP(S11,FTAKEDOWN,2,FALSE),0)+IFERROR(VLOOKUP(L11,FSURFACE,2,FALSE),0)+IFERROR(VLOOKUP(K11,FFITTING,2,FALSE),0)+IFERROR(VLOOKUP(P11,FPELMET,2,FALSE),0)+IFERROR(VLOOKUP(F11,FDeduct,2,FALSE),0)+IFERROR(VLOOKUP(M11,FCONTROL,2,FALSE),0))*IF(VLOOKUP(O11,FDBRACKET,2,FALSE)=""Yes"",0.75,1)))"
V,Comment,"=IF('Job Sheet'!AJ11=""Installation"",'Job Sheet'!AO11,"""")"
